customer_id,review_id,product_parent,star_rating,helpful_votes,total_votes,vine,review_headline,review_body,review_date
26011868,R3K90JITPU5DDD,122950606,1,0,0,N,Will not stay in!,"Our 2 month old loves to be pacified, but this will not stay in at all. It pops out after a few seconds. We switched to a cheapo type and those work much better. These are not all they're cracked up to be.",8/1/2011
40369031,R3R048D3W5SB7G,122950606,5,1,1,N,LOVE this pacifier,"My daughter is a breastfed baby and I was afraid to give her any pacifier at first.  But when the screaming constantly got to be too much, I decided to give this one a try.  Heaven!  She only sucks it for brief periods until she calms down and when she's done, she is DONE, she spits it out with a disgusted look on her face that is too funny.  But it has caused no nipple confusion and it does what it's intended purpose is, stopping the screaming.  Highly recommend!",7/20/2011
34932133,R3SRKB5L9Z0HKL,122950606,1,0,3,N,My kid hates this pacifier,"Everyone raves about this pacifier but my daughter has hated it from day one! She doesn't care much for any pacifier, but she disliked this one the most. We're using Gumdrop and NUK (when she'll take them). It wouldn't hurt to try it though.",3/10/2011
41665012,RT7KLBKZJ9XH0,122950606,4,0,0,N,Great for baby,I was glad to find these on amazon.  I only had the 1 I purchased from the hospital and they were a little pricey.  My baby doesn't take this all the time and I'm glad with him being breastfed.  We did go through a few days of nipple confusion but then we were able to settle in to a feeding routine and he is back to being breastfed full time.  He takes this when he's sleepy after a meal and won't burp.  I'm glad they have these and they're supposed to be the closest thing to the mother's nipple.,2/15/2011
26961827,R2PFPFA7FUDJJU,122950606,2,0,0,N,Not good for newborns,My son is now 1 month old and he was given this pacifier at birth by the hospital. He still does not like it and does not like the bottles made by First Year either. He has a hard time latching on and does not seem to like the toughness of the nipple. I am nursing him and he seems to like the softer nipples.,2/14/2011
28585290,R229YMVHT6EW8O,122950606,5,0,0,N,Perfect binkies,"Obviously, all babies are different with what shape of binkie they like, but these are pretty universal, as they are the same shape as a regular bottle nipple. My daughter is 9 months and still takes these at bedtime and naps. We tried the 3 months+ of these same binkies, and they are so thick and hard, she was not even interested on trying to suck it. They are easy to grab, so babies can put them back in their mouths by themselves once they get the hand-mouth coordination. They can be attached to a binkie holder that has a thin ribbon as the attachment point- just pull it through the hole and loop it over. They are inexpensive, so you can stock up on them and not feel bad if one gets lost.",1/3/2011
17232526,R18OBGPD4C5B6K,122950606,5,0,0,N,"great pacifiers, can be used for older babies","These pacifiers are great.  My daughter was exclusively breastfed, and was not given a pacifier until she was about 2-3 months old.  while it did take some time for her to get used to the pacifier, this was the only one she would take.  Eventhough they say 0-3 months, she is now 6 months, and continues to use it.  She has had no nipple confusion, and eventhough I try to get her to take other pacifiers, she will only suck on these.  It is great because they really help her settle down for her naps, and doesn't need them at any other time during the day.",12/28/2010
35983059,R3467WZG0EUON8,122950606,5,0,0,N,I found the perfect soothy for my newborn babygirl.,My newborn baby girl likes it too much. I have tried some other soothies. But all of those are harder compared to this one. This pacifier helps soothing a child to sleep.,5/5/2010
11206992,R2NMRH048BTG7P,122950606,5,0,0,N,the only one that works for our daughter,"These soothie pacifiers are the only ones our daughter likes. She loves them. They help her fall asleep or calm down. She spits out the avent pacifiers. You can attach a pacifier-keeper clip to them by detaching the ring that comes standard with the Mam brand and just threading the ribbon/velcro through one of the holes in the soothie. At one point, she preferred these pacifiers over the breast when she was fussy and we realized that she had nipple confusion. Now we use them more sparingly only when she's surely not hungry and they work like a charm.",1/29/2010
13607324,R251T3XX1MU93C,122950606,5,3,4,N,Great item,I was worried because the pacifiers like this that you purchase in the store are not the same as the ones you get in the hospital.  I was very pleased with this product and besides changing colors from green to purple my infant had no problem switching.,7/20/2009
16485415,R1JEF1MJ6L8IQQ,130912179,5,4,4,N,"Trusted brand, great product at always","We used Tomme Tippee bottles for my third born, my sister is now pregnant and we have gotten her all the Tommee Tippee closer to nature bottles, and now the pacifiers. I love that these make the transitions from bottle to pacifier easier, and she already loves the brand Tomme Tippee.<br /><br />I received this product at a reduced cost in exchange for my personal and unbiased review.",6/20/2015
1715734,ROCJEPAUGDPYJ,130912179,5,0,0,N,Five Stars,"good product, good for the baby..durable.",6/16/2015
14672656,R31OF9OMCJBH5V,130912179,5,0,0,N,great shape to stay in place,"These are very nice pacifiers, binkies, or a &#34;hush-hushies&#34; as we call them.<br />We received the clear set which is perfect because they are gender neutral. I wasn't entirely sure which color would arrive but these are the ones I wanted.<br />The shape is ideal because as a BF mom it's important that it be very similar in shape and size for an easy transition back and forth. Our babies were always very picky about the shape, each one taking to different kinds. The first child only took the nipples that were flat on one side, while the second preferred the ones which are not, but rather like these - round all the way around. They are also long enough that they can stay in easy but still bulbous. These are thinner at the base than they are at the tip, unlike the hospital issued ones which are the same size all the way from base to bulb. Those tend to pop straight out of the babies mouth where these stay in and are a more natural fit for them. They are the litle handles to attach to a ribbon holder so they stay within reach and being clear they will never chip or peel like some of the plastic ones. The silicone material is easy to clean and disinfect and I would definitely recommend these as a gift or necessity buy for another little one.<br />I purchased this set at a discount in exchange for an honest and unbiased review and all opinions expressed are my own.",6/2/2015
9488917,RE0SNAXRZ0F9Q,130912179,4,1,1,N,Loved the pacifiers...just not the color,I really like the pacifiers and surprisingly my son did too. I hadn't been able to find one that he like and he seemed to like this one. They came in a pack of two in a nice plastic container. The quality of the pacifiers is really nice. The only thing that I did not like was that I received pink ones. It would have been nice to be given the option to choose the color. Now my son has a pink pacifier. I will be giving the other away since I have no use for it. Overall i loved this pacifier just not the color I received this product at a discounted price in exchange for my honest and unbiased review.,6/2/2015
722158,R1VEHSRJV3P2KP,130912179,5,0,0,N,High Quality,Can not go wrong with this brand! it is made with high quality and makes a great product! will buy more for the next age group!,6/2/2015
2243412,R1W78YDOQM558F,130912179,5,2,3,N,This orthodontic pacifier is tasteless and odor-free silicone nipple that makes an easy transition between pacifier,"I got this product at a discounted price in exchange for an honest review. This orthodontic pacifier is tasteless and odor-free silicone nipple that makes an easy transition between pacifier, breast, and bottle. I myself is a breastfeeding mom and I can say that this can make an easy transition from my breast to this pacifier. Although we had several times to try to make him used to it but after several tries he already get used to it. My baby is now very comfortable in using them. It is also easy to clean and sterilize it afterwards. I would definitely recommend this pacifiers to my friends and relatives!",6/2/2015
28104268,R2G1OCR7JHRCWO,130912179,5,0,0,N,Tomme Tippee is a great brand!,Tomme Tippee makes great products! I son has always taking to there bottles and also the pacifiers! These come in a 2 pack and they come in a nice plastic container that can also be used for storage in diaper bag. These are made with a hard plastic so they will last and hold up well! We love Tomme Tippee products!,5/31/2015
511004,RWTWQR0BJRFFD,130912179,5,0,0,N,100 % legit seller and I recommend this product. #tommeetippee,I love tomme tippee.. I trust this product so much... My daughter's love the pacifier because it's so soft and harmless for the baby specially for the new born baby..,5/30/2015
788160,R1UC76GRU640QH,130912179,5,0,0,N,Great pacifiers,These pacifiers are great! My son loves them and it's easy for him to put in and take out of his mouth! Great product!,5/30/2015
23657341,R13ZT83JZ2O4NY,130912179,5,0,0,N,verry cute soft and great quality!  i love them,Always ben a fan of tomme tippee  seens my girl 4 yrs ago now am goin to have a baby boy so i decided to keep with tomme tippee brand  i love the new products and changes they made to some products  these are different shape then what i buy to my girl  really cute  cant wait to see my baby with them i love them how cute they are greeat quality as always and much softer then others brands,5/30/2015
1292164,R13GON04FZ7HK9,130912179,5,0,0,N,Five Stars,It's was a heaven sent.Help my Baby to sleep.Big help for traveling by plane too.<br />my Baby loves it.,5/28/2015
14746356,R2L475EYVEEXQ9,179903806,4,1,2,N,Totally Worth the Price,"I wasn't breast-fed, so I bought one of these for myself for my 40th birthday.  I had read good things about adults using pacifiers for anxiety, and since I have self-esteem issues which are easily fixed by envious stares from others, I figured two birds, one diamond pacifier.    Since buying this diamond encrusted pacifier, my life has completely changed.  I am no longer anxious, and while in public sucking away on my bangin' new sparkle thang, I get A LOT of looks.  I sense people and children and maybe even their pets staring at me while I'm catwalking and glittering down the street, on the subway, in grocery stores, and at Chuck E Cheese where I make it a point to show up all the toddlers.    Have I made many bad choices in my life?  Absolutely.  But getting a $17,000 diamond encrusted pacifier is not one of them.  I suck and sleep soundly at the shelter where I'm now living, since this purchase has set me back some.  And Kim Kardashian tweeted me back when I sent to her a picture of it - (yah !!!) I have been touched by celebrity, and that has just added the entire cake to my diamond-dusted icing.    One star off for the diamonds that keep falling out - but I replace them with craft crystals from Michaels and no one's the wiser.",12/22/2014
2183516,R12WS3YC8GQNAG,179903806,2,1,1,N,Two Stars,Distinctly uncomfortable. The diamond surface is very rough on the walls of the anal passage.,9/11/2014
